mass,RT,mass.r,formula
a,b,d,e
78.0141,1.09,78.014,<none>
99.9962,1.01,99.996,C4 H4 O S
178.0096,1.01,178.01,C9 H6 O2 S
239.9887,3.19,239.989,C6 H12 N2 S4
181.9489,0.51,181.949,#N/A
202.0454,0.96,202.045,Laberalol
925.5033,4.27,925.503,> limit
358.9748,3.19,358.975,C18 H2 Cl N3 O4
541.8985,3.2,541.899,C18 H8 Cl2 N4 O6 S3
131.0945,1.44,131.095,C6 H13 N O2
301.9103,3.19,301.91,C13 Cl2 N2 O S
165.0788,1.49,165.079,C9 H11 N O2
763.5667,9.07,763.567,> limit nullnullnull 9.061833
921.0026,0.69,921.003,> limit nullnullnull 0.68687034
337.3346,8.47,337.335,C22 H43 N O
202.2412,1,202.241,<none> nullnullnull 0.99557894
535.1582,8.86,535.158,C34 H22 Cl N5
194.9303,3.19,194.93,C4 H5 N S4
100.0872,1.01,100.087,C6 H12 O
404.0906,0.96,404.091,C14 H25 Cl O9 S
662.4463,9.07,662.446,C44 H58 N2 O3
414.2059,4.86,414.206,414.2059@4.8574634
202.242,1.44,202.242,<none> nullnullnull 0.99557894
444.113,4.32,444.113,C20 H29 Cl N2 O S3
87.0144,3.19,87.014,C3 H5 N S
124.9788,0.87,124.979,<none> nullnullnull 0.87383336
287.9622,1.1,287.962,287.9617@1.0894998
636.3111,7.12,636.311,#N/A
169.0583,0.86,169.058,#N/A
436.0385,0.95,436.039,C16 H22 Cl2 N4 S3
233.9722,1.18,233.972,233.972@1.1691482
156.1902,1.1,156.19,C11 H24
79.9408,1,79.941,<none> nullnullnull 1.0044999
157.9556,1.01,157.956,C3 H4 Cl2 O3
382.1087,0.97,382.109,C10 H18 N6 O10
336.1939,8.06,336.194,336.1942@8.056982
263.9593,1.02,263.959,C9 H4 N4 S3
300.3527,1.01,300.353,<none> null 1.0154167
218.003,0.86,218.003,C3 H10 N2 O5 S2
161.0279,0.86,161.028,C12 H3 N
514.4055,9.18,514.406,C30 H58 O4 S
150.9582,3.19,150.958,C3 H5 N S3
308.1203,2.53,308.12,C15 H20 N2 O3 S
925.5032,4.27,925.503,> limit
200.2338,1.01,200.234,#N/A
352.1103,2.52,352.11,C17 H16 N6 O S
145.1577,0.85,145.158,C7 H19 N3
245.924,1.18,245.924,C5 H7 Cl O3 S3
388.1062,6.26,388.106,388.1054@6.25613
410.2328,8.06,410.233,C12 H34 N12 O2 S
414.9098,3.2,414.91,C10 H7 Cl2 N3 O7 S2
764.2183,0.97,764.218,> limit nullnullnull 0.99990916
278.152,6.01,278.152,C16 H22 O4
149.9902,1.02,149.99,C6 H2 N2 O S
609.1773,9.05,609.177,C32 H32 Cl N O9
187.0633,1.99,187.063,C11 H9 N O2
468.4242,1.09,468.424,468.4253@1.106
240.006,1.58,240.006,240.0057@1.5682225
328.1502,2.39,328.15,C16 H24 O7
889.483,4.27,889.483,> limit nullnullnull 4.2737966
340.1204,0.86,340.12,C14 H20 N4 O4 S
118.9868,3.19,118.987,C3 H5 N S2
907.4946,4.26,907.495,> limit nullnullnull 4.2793517
437.2625,8.48,437.263,C21 H30 N10 O
477.9543,2.73,477.954,C18 H8 Cl2 N4 O6 S
356.2599,1.01,356.26,#N/A
136.0397,1.08,136.04,C5 H4 N4 O
390.2758,8.09,390.276,C24 H38 O4
181.9775,4.31,181.978,C6 H2 N2 O3 S
908.4865,4.15,908.487,> limit nullnullnull 4.160055
141.9392,1.04,141.939,C3 H4 Cl2 S
420.249,8.47,420.249,420.2485@8.468117
148.038,6.26,148.038,C6 H12 S2
134.0917,1.7,134.092,C6 H14 O3
143.9805,1.17,143.981,C4 H4 N2 S2
181.0736,1.44,181.074,C4 H11 N3 O5
402.2982,7.17,402.298,C23 H46 O S2
286.1383,2.26,286.138,C19 H16 N2 O
675.5166,8.48,675.517,C36 H66 Cl N9 O
156.0742,1.08,156.074,C8 H12 O3
170.1788,1.44,170.179,C10 H22 N2
89.9696,0.99,89.97,<none> nullnullnull 1.0168333
504.0923,4.32,504.092,C25 H28 O3 S4
327.3134,7.69,327.313,C20 H41 N O2
786.4305,8.07,786.431,#N/A
358.1659,2.43,358.166,C18 H22 N4 O4
632.3464,9.2,632.346,C32 H49 Cl N6 O5
522.3205,8.5,522.321,522.3215@8.490568
907.4938,4.12,907.494,> limit nullnullnull 4.2793517
456.2411,8.07,456.241,#N/A
146.0425,0.86,146.043,C6 H10 O2 S
494.2822,8.2,494.282,494.2841@8.161103
376.1798,0.86,376.18,C16 H24 N8 O S
141.1515,1.44,141.152,C9 H19 N
422.2476,8.47,422.248,<none> nullnullnull 8.470268
400.2086,8.47,400.209,400.2083@8.463777
889.4833,4.27,889.483,> limit nullnullnull 4.2737966
207.9485,1.01,207.949,C8 H Cl N2 O S
763.4401,8.48,763.44,C45 H65 N O5 S2
300.7141,1.02,300.714,<none> nullnullnull 1.0144286
462.1258,6.93,462.126,C28 H19 Cl N4 O
131.0942,1.12,131.094,C6 H13 N O2
238.2172,7.52,238.217,<none> nullnullnull 1.4274446
468.5347,1.09,468.535,<none> null 1.1086154
250.177,2.45,250.177,C8 H22 N6 O3
312.155,2.25,312.155,#N/A
350.0029,1.1,350.003,C7 H18 N4 O2 S5
360.3443,1.22,360.344,#N/A
925.5036,4.12,925.504,> limit
477.3164,0.8,477.316,C21 H43 N5 O7
296.0782,6.26,296.078,C12 H16 N4 O S2
250.9739,1.31,250.974,C6 H5 N O8 S
223.9921,1.12,223.992,C5 H8 N2 O4 S2
599.2776,0.83,599.278,C30 H41 N5 O6 S
260.1231,1.47,260.123,C16 H20 O S
115.9699,1.01,115.97,C7 S
291.9873,1.03,291.987,C15 H10 Cl2 S
925.5037,4.48,925.504,> limit
462.1649,7.54,462.165,462.1639@7.5281563
804.4421,8.47,804.442,804.4439@8.4716425
266.112,1.07,266.112,266.1124@1.0722708
464.2709,8.47,464.271,C18 H26 N8 O7
300.9219,1.02,300.922,C13 H2 O5 S2
534.5137,1.01,534.514,534.5139@1.015
362.2243,7.58,362.224,C21 H26 N6
556.1901,5.27,556.19,<none> nullnullnull 5.2721357
260.0038,0.97,260.004,C5 H9 Cl N2 O8
186.0886,0.67,186.089,#N/A
335.0115,4.33,335.012,C15 H5 N5 O3 S
220.0052,0.86,220.005,C4 H11 Cl3 N4
923.4971,4.15,923.497,> limit nullnullnull 4.1529126
222.0591,6.96,222.059,<none> nullnullnull 6.931442
726.4015,4.27,726.402,C46 H62 O S3
244.1313,2.15,244.131,C13 H16 N4 O
369.9672,1.14,369.967,369.967@1.1422591
376.2271,8.07,376.227,376.2262@8.070092
238.2178,1.44,238.218,<none> nullnullnull 1.4274446
280.1284,2.12,280.128,C20 H14 N2
224.0125,1.11,224.013,C5 H9 Cl N4 O2 S
303.3619,1.01,303.362,<none> nullnullnull 1.0074893
268.1277,2.23,268.128,C10 H22 Cl2 N4
216.0066,1.21,216.007,C3 H9 Cl N4 O3 S
354.1651,2.32,354.165,C16 H34 S4
104.0356,1.08,104.036,C6 H4 N2
334.0259,1.1,334.026,C20 H11 Cl O S
403.2781,8.13,403.278,C12 H29 N13 O3
280.0597,0.99,280.06,C14 H16 O2 S2
325.938,1.23,325.938,325.9376@1.2123886
418.9063,3.2,418.906,C16 H5 N O5 S4
440.2336,8.25,440.234,440.2309@8.258304
165.0787,1.13,165.079,C9 H11 N O2
402.1913,8.47,402.191,C25 H26 N2 O3
213.9865,1.37,213.987,C7 H6 N2 O2 S2
767.8574,1.57,767.857,#N/A
460.2351,8.47,460.235,C20 H37 Cl N6 O2 S
202.1743,0.96,202.174,#N/A
205.8869,0.95,205.887,C3 H4 Cl2 S3
440.2288,8.07,440.229,440.2275@8.061222
159.8816,1,159.882,#N/A
336.195,8.45,336.195,336.1942@8.056982
277.1538,2.19,277.154,C13 H27 N O S2
342.1743,8.06,342.174,C16 H26 Cl2 N4
296.1501,1.06,296.15,#N/A
137.8988,0.91,137.899,#N/A
494.2857,8.47,494.286,494.2841@8.161103
423.4542,0.98,423.454,423.4541@0.8710001
215.9149,0.96,215.915,C4 H5 Cl O2 S3
327.3136,8.05,327.314,C20 H41 N O2
393.2044,6.68,393.204,C19 H28 Cl N5 O2
749.5511,9.07,749.551,> limit nullnullnull 9.062
238.1212,3.61,238.121,C13 H18 O4
307.9648,1.02,307.965,C11 H20 N2 O8
324.0818,4.32,324.082,C11 H20 N2 O5 S2
344.1471,2.36,344.147,C17 H28 O3 S2
438.2206,3.2,438.221,#N/A
256.0122,1.09,256.012,C5 H13 Cl N6 S2
534.6245,1.01,534.625,<none> nullnullnull 1.0090526
414.1923,2.43,414.192,C26 H26 N2 O3
149.1259,1.88,149.126,C10 H15 N
310.1447,2.91,310.145,#N/A
137.0837,1.49,137.084,#N/A
192.1357,2.2,192.136,C9 H20 O4
163.0843,4.27,163.084,C6 H13 N O4
239.98,1.12,239.98,C6 H12 N2 S4
115.136,1.44,115.136,C7 H17 N
464.2764,8.07,464.276,C18 H26 N8 O7
202.0537,0.86,202.054,C14 H6 N2
478.2853,8.47,478.285,478.2836@8.467226
454.2186,3.22,454.219,C21 H42 O4 S3
206.1518,2.51,206.152,C10 H22 O4
510.2803,8.47,510.28,510.287@8.127019
144.0096,0.87,144.01,C3 H4 N4 O S
389.3037,7.34,389.304,C18 H40 Cl N7
327.3132,7.58,327.313,C20 H41 N O2
328.1559,2.91,328.156,C16 H24 O7
300.0119,2.31,300.012,C8 H16 N2 O2 S4
366.1968,8.07,366.197,C19 H30 N2 O3 S
362.1574,2.36,362.157,#N/A
326.8886,3.2,326.889,C11 H2 Cl N O3 S3
228.1329,2.41,228.133,#N/A
314.1672,8.47,314.167,C10 H27 Cl2 N7
424.9007,3.2,424.901,C14 H4 Cl N3 O5 S3
463.3017,0.8,463.302,C20 H41 N5 O7
366.2096,8.47,366.21,C13 H18 Cl N9 S
304.0061,1.16,304.006,C15 H4 N4 O2 S
345.3258,8.24,345.326,C20 H43 N O3
270.1048,1.07,270.105,C9 H22 N2 O3 S2
613.2937,0.83,613.294,C26 H47 N O15
238.1236,3.54,238.124,C13 H18 O4
155.0944,2.18,155.094,#N/A
148.0367,6.92,148.037,C6 H12 S2
514.277,8.07,514.277,514.2762@8.109064
588.3097,8.03,588.31,588.309@7.973902
328.1526,8.06,328.153,C16 H24 O7
402.1942,8.13,402.194,C25 H26 N2 O3
889.4851,4.14,889.485,> limit nullnullnull 4.2737966
315.0027,1.18,315.003,C15 H9 N O3 S2
148.1103,2.15,148.11,C7 H16 O3
466.2543,7.75,466.254,466.2538@7.7438903
337.9583,1.12,337.958,337.958@1.0850713
364.2146,8.08,364.215,364.213@8.073926
238.2172,8.47,238.217,<none> nullnullnull 1.4274446
434.2567,8.47,434.257,C12 H34 N8 O9
480.2749,8.07,480.275,480.271@8.070919
508.293,8.07,508.293,C27 H53 Cl S3
276.2285,5.88,276.229,#N/A
382.2064,8.46,382.206,C18 H29 Cl N4 O3
241.9771,1.03,241.977,C11 H2 N2 O3 S
321.19,0.8,321.19,#N/A
1851.5293,4.27,1851.529,1851.5326@4.271
282.1667,1.71,282.167,C12 H26 O7
330.3943,1.49,330.394,<none> nullnullnull 1.4908236
408.2247,8.47,408.225,C27 H28 N4
340.1518,2.35,340.152,C24 H24 N2
222.0894,3.99,222.089,C13 H10 N4
384.1807,3.43,384.181,C20 H25 Cl N6
664.4124,8.49,664.412,664.4135@8.479188
305.8566,0.98,305.857,305.8566@0.97563815
282.1033,1.07,282.103,C21 H14 O
199.8979,1,199.898,199.8984@1.002185
538.3166,8.47,538.317,C37 H46 O S
314.088,5.45,314.088,C12 H18 N4 O2 S2
242.0121,0.87,242.012,<none> nullnullnull 0.86969995
213.9784,1.05,213.978,#N/A
328.1472,1.06,328.147,C16 H20 N6 S
398.2089,8.48,398.209,398.2061@8.072358
326.1435,3.21,326.144,C18 H18 N2 O4
252.2333,8.07,252.233,<none> nullnullnull 8.059755
282.1124,2.19,282.112,C11 H22 O6 S
171.949,8.38,171.949,C5 H Cl N2 O S
358.1984,8.06,358.198,C13 H30 N2 O9
468.1312,4.86,468.131,C17 H21 Cl N8 O6
749.4006,9.63,749.401,> limit nullnullnull 9.62094
140.1185,2.86,140.119,C9 H16 O
450.2614,8.48,450.261,#N/A
375.9177,0.99,375.918,C7 H11 Cl3 O9 S
386.1927,2.38,386.193,C16 H30 N6 O S2
398.1954,3.11,398.195,C17 H31 Cl N6 O S
346.1189,5.28,346.119,346.119@5.281
398.2069,8.07,398.207,398.2061@8.072358
404.438,0.96,404.438,<none> nullnullnull 0.9647777
185.1905,0.84,185.191,#N/A
128.0448,1.05,128.045,C6 H8 O3
308.1274,2.2,308.127,C15 H20 N2 O3 S
363.216,8.08,363.216,363.2163@8.034818
318.2775,7.15,318.278,C18 H38 O4
216.097,1.44,216.097,C14 H16 S
226.1205,2.19,226.121,C12 H19 Cl N2
317.9671,1.04,317.967,C7 H8 Cl2 N2 O8
1070.7253,8.86,1070.725,> limit nullnullnull 8.846369
209.1078,1.44,209.108,C8 H19 N O3 S
330.159,1.47,330.159,C10 H26 N4 O6 S
431.2842,8.07,431.284,431.2858@8.069464
218.0253,2.27,218.025,#N/A
554.3016,8.48,554.302,#N/A
433.2846,8.47,433.285,433.2876@8.465433
269.9382,2.73,269.938,C13 Cl2 N2 O
384.1927,8.42,384.193,384.1907@7.5555305
358.3065,8.21,358.307,C22 H46 O3
366.2034,8.47,366.203,C13 H18 Cl N9 S
229.9506,1.07,229.951,C5 H8 Cl2 N2 S2
294.1441,2.61,294.144,C11 H23 Cl N4 O3
290.0633,1.02,290.063,C13 H14 N4 S2
272.1273,2.18,272.127,C14 H16 N4 O2
380.1851,2.87,380.185,C21 H40 N2 O4
167.9924,1.03,167.992,C6 H4 N2 O2 S
387.2553,8.08,387.255,C21 H38 Cl N O3
351.3081,7.11,351.308,C22 H41 N O2
312.161,8.07,312.161,C16 H25 Cl N2 O2
763.8059,9.07,763.806,> limit nullnullnull 9.061548
247.8985,1,247.899,C3 H5 Cl N2 O S4
317.9848,1.07,317.985,317.9833@1.0381154
552.3257,8.48,552.326,C26 H53 Cl N4 O6
684.2744,0.83,684.274,C22 H32 N22 O3 S
590.3104,8.47,590.31,C34 H54 S4
359.354,5.74,359.354,C25 H45 N
204.0787,6.01,204.079,C12 H12 O3
349.2039,2.28,349.204,C16 H33 N O3 S2
773.4357,0.92,773.436,> limit nullnullnull 0.9148235
926.506,4.11,926.506,926.5066@4.08
374.2122,8.46,374.212,C17 H30 N2 O7
339.9131,3.19,339.913,C8 H8 N2 O3 S5
195.8573,0.92,195.857,<none> nullnullnull 0.89820004
480.2593,8.47,480.259,480.2564@8.465406
99.1051,1.01,99.105,#N/A
424.2663,8.43,424.266,C18 H32 N8 O4
356.1542,2.34,356.154,C14 H30 Cl2 N4 O2
335.1947,2.35,335.195,C10 H27 N9 O2 S
373.2479,8.46,373.248,#N/A
1530.8365,8.47,1530.837,> limit nullnullnull 8.465095
298.2516,6.72,298.252,#N/A
474.248,8.17,474.248,C14 H37 Cl2 N11 O3
189.9382,1,189.938,#N/A
386.1937,3.6,386.194,C16 H30 N6 O S2
723.4994,9.07,723.499,C34 H70 Cl N7 O7
219.1088,1.49,219.109,C13 H17 N S
1084.214,3.19,1084.214,> limit null 3.2007172
453.2573,8.21,453.257,#N/A
424.2576,8.47,424.258,C18 H40 N4 O3 S2
308.2095,2.75,308.21,#N/A
359.3553,5.19,359.355,C25 H45 N
227.1881,4,227.188,C13 H25 N O2
268.0808,1.44,268.081,C10 H12 N4 O5
143.9523,1.76,143.952,143.9522@1.783
291.1686,2.25,291.169,C17 H25 N O S
255.8136,0.92,255.814,<none> nullnullnull 0.923
491.8259,0.99,491.826,C23 H43 N S5
258.0712,0.62,258.071,#N/A
275.9774,1.13,275.977,C12 H5 Cl N2 O2 S
424.2686,8.07,424.269,C18 H32 N8 O4
616.2586,2.17,616.259,C40 H44 O2 S2
300.1628,8.48,300.163,C18 H24 N2 O2
1612.4651,8.86,1612.465,> limit null 8.8699
507.3296,8.47,507.33,C25 H35 N9 O3
324.1727,8.48,324.173,C20 H26 N2 S
406.2389,8.47,406.239,C17 H36 N4 O3 S2
235.9686,1.02,235.969,C3 H9 Cl N2 O4 S2
414.1255,6.01,414.126,C19 H30 N2 S4
405.2569,8.47,405.257,C29 H30 N2
1524.8857,8.47,1524.886,> limit nullnullnull 8.46488
540.2964,8.07,540.296,540.2963@8.073129
260.0039,0.99,260.004,C5 H9 Cl N2 O8
162.1253,2.78,162.125,C8 H18 O3
310.1435,2.31,310.144,#N/A
594.3585,8.47,594.359,C15 H43 N13 O4 S4
428.3074,8.47,428.307,C24 H52 N4 O2
314.141,2.18,314.141,#N/A
302.0168,1,302.017,302.0172@1.0205758
414.204,8.47,414.204,414.2059@4.8574634
358.1549,1.06,358.155,C18 H27 Cl O5
208.9379,1.32,208.938,C5 H4 Cl N O2 S2
103.0999,0.96,103.1,#N/A
190.156,3.75,190.156,C10 H22 O3
369.9994,1.04,369.999,C10 H7 Cl N8 O4 S
291.988,1.09,291.988,C15 H10 Cl2 S
319.0409,4.32,319.041,C17 H9 N3 O2 S
226.168,2.07,226.168,C8 H18 N8
80.0095,1.1,80.01,<none> nullnullnull 1.0862594
331.3233,5.54,331.323,C23 H41 N
334.0163,0.86,334.016,C10 H12 Cl2 N6 O S
330.0533,1,330.053,330.0535@1.012434
282.2545,6.7,282.255,C18 H34 O2
324.1579,2.74,324.158,C22 H18 N2 O
1077.44,3.2,1077.44,1077.4374@3.2020006
509.1541,4.86,509.154,C36 H19 N3 O
658.361,8.07,658.361,#N/A
353.2777,5.06,353.278,C14 H31 N11
323.1933,2.38,323.193,C18 H29 N O2 S
459.3084,8.09,459.308,C12 H38 Cl N15 O2
200.8049,1.02,200.805,200.8037@1.024
147.9479,1,147.948,C7 S2
294.1214,2.17,294.121,#N/A
468.791,1.1,468.791,<none> null 1.0984
564.415,8.22,564.415,C29 H60 N10 O
404.2474,8.47,404.247,C21 H33 Cl N6
524.3018,8.07,524.302,#N/A
260.1228,1.04,260.123,C16 H20 O S
797.4006,1.44,797.401,#N/A
763.9001,9.07,763.9,> limit nullnullnull 9.062619
914.32,4.27,914.32,#N/A
242.2121,8.06,242.212,<none> nullnullnull 8.06816
87.1022,3.19,87.102,<none> null 3.1777506
438.2453,8.48,438.245,438.2424@8.4796095
582.3399,8.05,582.34,C20 H47 Cl N12 O2 S2
811.4174,1.44,811.417,> limit nullnullnull 1.4308962
274.2505,7.19,274.251,C16 H34 O3
294.9161,3.19,294.916,<none> null 3.1690392
510.2857,8.12,510.286,510.287@8.127019
678.434,8.51,678.434,678.4394@8.500444
466.2609,8.15,466.261,466.2615@8.14474
500.2644,8.22,500.264,C26 H37 Cl N6 O2
378.223,8.47,378.223,378.223@8.46535
152.9541,3.2,152.954,<none> null 3.1815646
304.1478,1.04,304.148,C18 H24 O2 S
314.1708,2.96,314.171,314.1701@6.4679995
777.5829,9.07,777.583,> limit nullnullnull 9.062331
672.3775,8.48,672.378,672.3761@8.468327
908.4762,4.12,908.476,> limit nullnullnull 4.119741
961.4209,4.27,961.421,> limit nullnullnull 4.266827
378.2238,8.07,378.224,378.223@8.46535
702.391,8.07,702.391,C25 H55 Cl N12 O9
308.1228,1.06,308.123,C15 H20 N2 O3 S
357.2411,8.46,357.241,#N/A
254.1115,1.47,254.112,C11 H23 Cl O2 S
761.4496,0.92,761.45,> limit nullnullnull 0.9065384
533.3367,4.86,533.337,C31 H51 N O2 S2
216.0969,1.02,216.097,C14 H16 S
206.1508,2.84,206.151,C10 H22 O4
240.1228,2.18,240.123,#N/A
113.084,2.06,113.084,C6 H11 N O
514.2734,8.12,514.273,514.2762@8.109064
426.0711,1.99,426.071,C13 H22 N4 O6 S3
366.1909,7.55,366.191,C19 H30 N2 O3 S
330.3128,8.27,330.313,C20 H42 O3
475.3197,8.08,475.32,475.3187@8.073858
564.3618,8.46,564.362,564.3634@8.459277
368.1778,2.31,368.178,#N/A
487.2772,8.46,487.277,C23 H29 N13
582.3335,8.35,582.334,C20 H47 Cl N12 O2 S2
204.0878,1.92,204.088,#N/A
444.3822,4.34,444.382,C27 H48 N4 O
642.3497,8.47,642.35,C30 H54 N6 O3 S3
472.2417,8.49,472.242,C25 H42 Cl2 N2 S
292.1649,3.53,292.165,#N/A
296.1201,1.06,296.12,C16 H16 N4 O2
362.224,7.58,362.224,C21 H26 N6
1325.346,9.07,1325.346,> limit nullnullnull 9.062074
612.1775,9.06,612.178,C38 H24 N6 O S
383.3347,7.8,383.335,C19 H41 N7 O
534.7833,1.01,534.783,<none> null 1.0143636
155.9767,0.88,155.977,C10 H Cl
243.1822,3.7,243.182,C13 H25 N O3
430.1978,3.07,430.198,C21 H30 N6 S2
540.295,8.49,540.295,540.2963@8.073129
370.096,6.94,370.096,C15 H22 N4 O S3
261.8947,1.12,261.895,261.8945@1.1242925
1572.8976,8.47,1572.898,> limit nullnullnull 8.467869
394.2236,8.47,394.224,394.2235@8.4680805
402.1892,2.52,402.189,C19 H30 O9
340.1577,8.08,340.158,C24 H24 N2
317.964,0.98,317.964,C7 H8 Cl2 N2 O8
444.2368,8.1,444.237,C16 H38 Cl2 N8 O2
345.3254,8.1,345.325,C20 H43 N O3
196.1033,2.01,196.103,C6 H16 N2 O5
331.3231,5.17,331.323,C23 H41 N
159.9773,0.66,159.977,#N/A
1637.0314,8.18,1637.031,> limit nullnullnull 8.175884
445.297,8.09,445.297,445.2969@8.081451
460.1133,5.28,460.113,C22 H16 N6 O6
384.1481,4.32,384.148,C20 H24 N4 S2
242.1153,2.21,242.115,C16 H18 S
181.1828,2.55,181.183,C12 H23 N
706.3738,4.27,706.374,C37 H65 N5 O8
125.0812,0.87,125.081,#N/A
256.2392,0.72,256.239,#N/A
326.1934,1.95,326.193,C11 H30 N6 O S2
530.4004,8.76,530.4,C30 H58 O5 S
364.2024,8.47,364.202,364.2013@8.465906
157.1461,4.18,157.146,#N/A
357.9744,0.88,357.974,357.9767@0.87637496
393.2028,6.92,393.203,C19 H28 Cl N5 O2
350.2064,8.47,350.206,350.2037@8.463791
385.7713,8.21,385.771,<none> nullnullnull 8.209399
81.9379,1,81.938,<none> nullnullnull 1.0085001
391.2363,8.46,391.236,C15 H29 N13
498.2622,8.19,498.262,C24 H40 N2 O9
447.2695,0.8,447.27,C27 H42 Cl N S
345.3235,8.45,345.324,C20 H43 N O3
272.1624,2.8,272.162,#N/A
247.9205,3.19,247.921,C6 H4 N2 O S4
222.0579,5.48,222.058,<none> nullnullnull 6.931442
238.1196,2.64,238.12,C13 H19 Cl N2
351.1917,8.09,351.192,C15 H29 N O8
234.8043,1.1,234.804,234.804@1.113
351.1903,3,351.19,C15 H29 N O8
449.2905,8.46,449.291,449.2948@8.463277
266.1143,2.14,266.114,266.1124@1.0722708
379.956,1.08,379.956,379.9557@1.0777593
324.1577,3.22,324.158,C22 H18 N2 O
404.7011,0.96,404.701,<none> nullnullnull 0.975
304.975,1.1,304.975,C10 H8 Cl N O6 S
221.8784,1.05,221.878,#N/A
349.1863,2.33,349.186,#N/A
352.1906,8.07,352.191,#N/A
630.3459,8.47,630.346,630.3424@8.4647875
219.9516,1.07,219.952,C3 H8 O5 S3
333.188,8.48,333.188,C15 H28 Cl N3 O3
1080.2664,8.84,1080.266,> limit nullnullnull 8.856084
1230.6761,8.47,1230.676,> limit nullnullnull 8.462144
798.337,4.25,798.337,798.3352@4.255384
333.8828,3.87,333.883,C13 Cl2 N2 O S2
536.1435,7.48,536.144,C21 H30 Cl2 N4 O8
402.1951,8.07,402.195,C25 H26 N2 O3
482.2624,8.16,482.262,482.2601@7.123809
472.2379,8.07,472.238,C15 H36 N16 S
380.2044,8.48,380.204,C10 H28 N12 S2
409.9687,1.17,409.969,409.9699@1.1554362
2444.2402,1.96,2444.24,> limit nullnullnull 1.9596
585.175,3.2,585.175,C18 H35 N O20
466.2855,8.81,466.286,C22 H46 N2 O2 S3
477.2974,8.47,477.297,477.2978@8.469937
508.2972,8.17,508.297,C27 H53 Cl S3
490.2503,8.2,490.25,490.2507@8.210308
167.9865,1.02,167.987,C5 H9 Cl O2 S
331.3232,5.81,331.323,C23 H41 N
1070.8591,8.84,1070.859,> limit nullnullnull 8.844346
447.2968,8.48,447.297,C28 H37 N3 O2
351.9759,1.01,351.976,C11 H4 N4 O8 S
202.2156,0.87,202.216,#N/A
252.1349,2.94,252.135,#N/A
299.9366,1.03,299.937,C5 H5 Cl N4 O5 S2
724.3208,3.2,724.321,#N/A
2444.742,1.96,2444.742,> limit nullnullnull 1.9556863
216.0982,2.34,216.098,C14 H16 S
389.7932,0.95,389.793,C5 H3 Cl3 O6 S4
702.3911,8.49,702.391,C25 H55 Cl N12 O9
218.1539,0.96,218.154,C12 H18 N4
444.2394,8.23,444.239,C16 H38 Cl2 N8 O2
232.0721,2.81,232.072,C13 H12 O4
998.5513,8.07,998.551,> limit nullnullnull 8.077255
394.1921,2.97,394.192,C20 H29 Cl N2 O4
298.2538,6.91,298.254,#N/A
1605.9983,8.46,1605.998,#N/A
262.0496,4.32,262.05,C14 H14 O S2
196.0711,0.88,196.071,C5 H13 Cl N4 O2
1644.8915,8.47,1644.892,> limit nullnullnull 8.468729
1018.531,8.48,1018.531,> limit nullnullnull 8.449001
415.2809,8.08,415.281,#N/A
309.8931,1.05,309.893,C5 H4 Cl2 O9 S
1040.6932,8.22,1040.693,> limit nullnullnull 8.213116
416.2059,3.22,416.206,C24 H32 O4 S
212.104,2.04,212.104,#N/A
612.3383,8.08,612.338,C46 H44 O
256.1297,2.43,256.13,#N/A
384.2803,8.08,384.28,384.2807@8.077716
594.3572,8.08,594.357,C15 H43 N13 O4 S4
